Individual Shots,Game,Total
"Schaban, Adam",Cornell at UConn ( 11/23/2025 ),9
"Wollstein, Kasper",Cornell vs. Colgate ( 10/14/2025 ),7
"Hormozi, Bardia",Princeton at James Madison ( 10/14/2025 ),7
"Ittycheria, Daniel",Princeton vs. Dartmouth ( 11/1/2025 ),7
"Amaral, Lorenzo",Brown at Boston U. ( 9/5/2025 ),6
"Diakos, Giorgos",Cornell vs. Western Mich. ( 9/13/2025 ),6
"Cayelli, Patrick",Penn vs. Drexel ( 9/16/2025 ),6
"Hormozi, Bardia",Princeton vs. UAlbany ( 9/20/2025 ),6
"Hormozi, Bardia",Princeton at Harvard ( 9/27/2025 ),6
"Farouz, Joseph",Yale vs. Columbia ( 10/4/2025 ),6
Individual Goals,Game,Total
"Cayelli, Patrick",Penn vs. William & Mary ( 10/14/2025 ),3
"Dahlen, Romeo",Penn vs. Loyola Maryland ( 8/29/2025 ),2
"Baldvinsson, Eidur",Dartmouth at Vermont ( 9/9/2025 ),2
"Savva, Andreas",Harvard vs. California ( 9/10/2025 ),2
"Dahlen, Romeo",Penn vs. Villanova ( 9/23/2025 ),2
"Zapata, Sergio",Cornell vs. Yale ( 9/27/2025 ),2
"Diakos, Giorgos",Cornell at Dartmouth ( 10/4/2025 ),2
"Dahlen, Romeo",Penn vs. William & Mary ( 10/14/2025 ),2
"Ittycheria, Daniel",Princeton vs. Columbia ( 10/18/2025 ),2
"Poliakov, Adam",Harvard vs. Brown ( 10/18/2025 ),2
Individual Saves,Game,Total
"Lee, Conrad",Yale at Massachusetts ( 9/20/2025 ),10
"McPherson, Matt",Dartmouth at Massachusetts ( 10/21/2025 ),10
"Lee, Conrad",Yale vs. Syracuse ( 9/1/2025 ),8
"Weiper, Henrik",Brown at Cornell ( 10/25/2025 ),8
"Dellas, Konstantinos",Dartmouth vs. Penn ( 10/25/2025 ),8
"Wood, Lucian",Harvard at Providence ( 9/5/2025 ),7
"Lee, Conrad",Yale at Cornell ( 9/27/2025 ),7
"Kelliher, Dean",Columbia at Yale ( 10/4/2025 ),7
"Samuels, Andrew",Princeton at Cornell ( 10/11/2025 ),7
"Kelliher, Dean",Columbia at Princeton ( 10/18/2025 ),7
Individual Assists,Game,Total
"Samways, Daniel",Cornell at Binghamton ( 9/30/2025 ),3
"Cayelli, Patrick",Penn vs. Loyola Maryland ( 8/29/2025 ),2
"Kelly, Ben",Harvard vs. California ( 9/10/2025 ),2
"Diakos, Giorgos",Cornell vs. Western Mich. ( 9/13/2025 ),2
"Tsunehara, Roka",Princeton at Villanova ( 9/13/2025 ),2
"Spicer, Olly",Dartmouth vs. Northeastern ( 9/17/2025 ),2
"Miller, Connor",Cornell at Binghamton ( 9/30/2025 ),2
"Sakalosky, Erickson",Penn vs. Villanova ( 9/23/2025 ),2
"Amaral, Lorenzo",Brown vs. UMass Lowell ( 9/20/2025 ),2
"Meacham, Sven",Yale vs. New Haven ( 10/7/2025 ),2