Individual Player (IP) Shots,,,,,(IP) Goals,,,,,(IP) Game-Winning Goals,,,,,(IP) Shots on Goal,,,,,(IP) Assists,,,,,(IP) Points,,,,,,
Index,Player,GP,NO,Avg/G,Index,Player,GP,NO,Avg/G,Index,Player,GP,NO,Avg/G,Index,Player,GP,NO,Avg/G,Index,Player,GP,NO,Avg/G,Index,Player,GP,Goals,Asst,Pts,Avg/G
1,"Ittycheria, Daniel (Princeton)",16,60,3.75,1,"Cayelli, Patrick (Penn)",17,9,0.529,1,"Ittycheria, Daniel (Princeton)",16,4,0.25,1,"Cayelli, Patrick (Penn)",17,25,1.47,1,"Cayelli, Patrick (Penn)",17,8,0.471,1,"Cayelli, Patrick (Penn)",17,9,8,26,1.53
2,"Hormozi, Bardia (Princeton)",19,64,3.37,2,"Ittycheria, Daniel (Princeton)",16,9,0.563,2,"Poliakov, Adam (Harvard)",10,2,0.2,2,"Hormozi, Bardia (Princeton)",19,24,1.26,2,"Meacham, Sven (Yale)",15,6,0.4,2,"Ittycheria, Daniel (Princeton)",16,9,3,21,1.31
3,"Cayelli, Patrick (Penn)",17,42,2.47,3,"Dahlen, Romeo (Penn)",17,6,0.353,3,"Pratt, Oliver (Penn)",17,3,0.176,3,"Ittycheria, Daniel (Princeton)",16,22,1.38,3,"Martin, Aidan (Cornell)",20,6,0.3,3,"Poliakov, Adam (Harvard)",10,6,1,13,1.3
4,"Amaral, Lorenzo (Brown)",15,37,2.47,4,"Poliakov, Adam (Harvard)",10,6,0.6,4,"Hormozi, Bardia (Princeton)",19,3,0.158,4,"Diakos, Giorgos (Cornell)",17,19,1.12,4,"Miller, Connor (Cornell)",20,6,0.3,4,"Zapata, Sergio (Cornell)",20,6,5,17,0.85
5,"Diakos, Giorgos (Cornell)",17,42,2.47,5,"Zapata, Sergio (Cornell)",20,6,0.3,5,"Baldvinsson, Eidur (Dartmouth)",13,2,0.154,5,"Wollstein, Kasper (Cornell)",20,18,0.9,5,"Jasinski, Jack (Princeton)",19,6,0.316,5,"Hormozi, Bardia (Princeton)",19,6,4,16,0.84
6,"Bottene, Marco (Penn)",17,40,2.35,6,"Carnevale, Westin (Cornell)",20,6,0.3,6,"Donahue, Blake (Cornell)",20,3,0.15,6,"Latona, Sam (Cornell)",20,17,0.85,6,"Kelly, Ben (Harvard)",16,5,0.313,6,"Dahlen, Romeo (Penn)",17,6,1,13,0.76
7,"Poliakov, Adam (Harvard)",10,22,2.2,7,"Hormozi, Bardia (Princeton)",19,6,0.316,7,"Zapata, Sergio (Cornell)",20,3,0.15,7,"Zapata, Sergio (Cornell)",20,16,0.8,7,"Savva, Andreas (Harvard)",17,5,0.294,7,"Savva, Andreas (Harvard)",17,4,5,13,0.76
8,"Schaban, Adam (Cornell)",17,35,2.06,8,"Wagoner, Jack (Penn)",16,5,0.313,8,"Harmon, Nathan (Yale)",8,1,0.125,8,"Miller, Connor (Cornell)",20,16,0.8,8,"Amaral, Lorenzo (Brown)",15,5,0.333,8,"Spicer, Olly (Dartmouth)",12,3,3,9,0.75
9,"Savva, Andreas (Harvard)",17,34,2,9,"Donahue, Blake (Cornell)",20,5,0.25,9,"Cayelli, Patrick (Penn)",17,2,0.118,9,"Carnevale, Westin (Cornell)",20,15,0.75,9,"Zapata, Sergio (Cornell)",20,5,0.25,9,"Carnevale, Westin (Cornell)",20,6,3,15,0.75
10,"Wollstein, Kasper (Cornell)",20,39,1.95,10,"Baldvinsson, Eidur (Dartmouth)",13,4,0.308,10,"Dahlen, Romeo (Penn)",17,2,0.118,10,"Bottene, Marco (Penn)",17,14,0.82,10,"Diakos, Giorgos (Cornell)",17,5,0.294,10,"Tellado, Dylan (Harvard)",15,4,3,11,0.73